%TIME (h)	SPD(m/s)	TEMP(F)	DEWP(F)	SLP(mb)
1	16	57	36	1020.8
2	12	55	35	1021.3
3	14	52	34	1022.4
4	13	51	32	1022
5	8	51	34	1022.3
6	10	50	34	1022.6
7	9	50	36	1022.1
8	9	50	36	1022.1
9	7	49	37	1021.9
10	8	50	36	1021.9
11	8	49	36	1021.5
12	8	49	36	1021.7
13	5	50	38	1021.9
14	10	52	43	1021.7
15	10	51	43	1021.7
16	14	52	45	1021.5
17	9	52	49	1021.5
18	9	52	51	1021
19	9	53	52	1020.3
20	8	54	53	1018.8
21	11	55	55	1017.3
22	12	56	55	1017.3
23	9	57	56	1016
24	13	61	58	1014.5
25	17	62	58	1013.3
26	23	62	59	1012.4
27	18	61	59	1012.4
28	17	59	57	1012.3
29	17	59	58	1012.3
30	17	59	58	1013.1
31	10	61	59	1013.6
32	12	58	57	1013.1
33	14	60	58	1012.9
34	16	59	56	1012.7
35	16	59	55	1012.4
36	16	59	56	1012.4
37	17	59	56	1011.6
38	15	60	56	1011
39	14	60	56	1010.7
40	14	59	57	1010.6
41	12	60	57	1010.8
42	13	63	57	1010.8
43	13	62	57	1010.8
44	17	66	58	1010.6
45	13	68	59	1010.5
46	16	72	58	1009.9
47	18	73	59	1009.2
48	16	74	58	1008.2
49	19	75	55	1007.2
50	20	75	56	1007.2
51	20	75	55	1006.3
52	20	72	56	1005.9
53	18	71	57	1006.7
54	21	56	50	1009
55	20	52	49	1009.1
56	22	52	46	1010.5
57	22	51	47	1010.5
58	22	49	46	1010.9
59	23	49	45	1011.6
60	20	49	45	1011.5
61	21	48	45	1011.4
62	15	48	44	1011.3
63	17	48	45	1011.2
64	17	48	44	1011.2
65	17	48	43	1011.4
66	17	47	44	1012
67	18	48	43	1012.3
68	13	48	42	1013.1
69	16	49	41	1014.1
70	18	50	39	1015.2
71	18	50	40	1015.2
72	21	51	37	1015.4
73	20	54	37	1015.7
74	14	54	36	1016.1
75	16	54	35	1016.4
76	15	54	35	1016
77	14	52	36	1016.5
78	14	52	35	1016.5
79	13	52	34	1017
80	12	52	32	1017.1
81	9	53	30	1017.2
82	8	52	30	1017.3
83	6	51	30	1017.8
84	6	52	34	1018.7
85	6	51	33	1018.7
86	5	51	30	1019.4
87	5	51	32	1020.1
88	3	50	32	1020.4
89	5	48	33	1021.1
90	7	48	35	1021.2
91	5	46	34	1021.5
92	5	47	34	1021.5
93	7	45	34	1021.9
94	5	44	34	1022.3
95	0	43	39	1022.4
96	0	44	36	1022.8
97	9	47	35	1023.4
98	9	52	34	1024
99	9	51	34	1024
100	10	52	31	1024.3
101	8	52	33	1024.4
102	8	51	35	1024.1
103	8	53	38	1024
104	7	54	35	1023.3
105	11	57	43	1022.7
106	12	57	42	1022.7
107	13	55	42	1022.2
108	12	55	36	1021.8
109	12	55	38	1021.5
110	10	56	37	1021.3
111	9	53	36	1021.1
112	6	52	36	1021.7
113	6	52	36	1021.7
114	5	50	41	1022.3
115	7	53	32	1022.4
116	6	50	32	1022.6
117	5	50	36	1022.1
118	6	48	35	1021.5
119	5	48	34	1020.8
120	5	49	33	1020.8
121	5	47	35	1020.1
122	3	49	32	1020.4
123	0	47	35	1019.7
124	0	47	35	1021.2
125	0	49	37	1022.4
126	3	52	37	1022.8
127	3	52	38	1022.8
128	6	54	37	1022.8
129	6	54	38	1022.8
130	6	58	35	1022.7
131	13	57	38	1022.5
132	10	57	44	1022.6
133	16	60	35	1022.1
134	18	61	30	1021.6
135	18	61	31	1021.6
136	17	60	36	1020.9
137	17	57	39	1020.2
138	13	60	42	1020.4
139	10	62	35	1020.5
140	12	61	30	1020.4
141	10	57	34	1020.1
142	10	58	33	1020.1
143	10	56	36	1020.1
144	13	55	22	1020.6
145	14	54	20	1021.3
146	10	52	25	1020.7
147	9	51	25	1020.9
148	7	50	27	1020.6
149	7	50	26	1020.6
150	8	50	28	1019.8
151	8	49	33	1019.3
152	6	49	36	1019
153	7	48	38	1020.1
154	5	48	39	1020
155	8	48	41	1019.6
156	8	49	41	1019.6
157	8	49	43	1019.7
158	9	49	46	1019.3
159	6	51	47	1018.9
160	6	51	47	1018.3
161	6	50	50	1018.3
162	3	51	51	1017.8
163	5	52	52	1017.3
164	5	51	51	1017.3
165	8	51	50	1016.5
166	8	52	51	1015.3
167	9	52	52	1014.9
168	9	52	52	1014.1
169	9	50	50	1014.1
170	7	50	50	1013.9
171	7	50	50	1013.9
172	6	50	50	1013.4
173	6	50	50	1013.4
174	5	50	50	1013.8
175	5	50	50	1013.8
176	6	50	50	1013.6
177	6	50	50	1013.6
178	5	50	50	1012.9
179	5	50	50	1012.9
180	0	50	50	1012.5
181	3	50	50	1012.5
182	3	49	49	1012.5
183	0	50	50	1011.6
184	0	50	50	1011.6
185	0	51	51	1011.4
186	0	52	51	1012.3
187	3	52	51	1011.5
188	5	53	52	1012
189	7	56	54	1012.2
190	6	58	54	1012.4
191	7	61	55	1012.2
192	5	65	54	1012.4
193	6	69	53	1011.9
194	14	74	49	1011
195	12	75	48	1010.7
196	15	64	54	1010.9
197	15	65	54	1010.9
198	14	64	54	1011.1
199	14	65	54	1011.1
200	10	63	54	1011.3
201	9	64	52	1011.3
202	6	65	53	1012
203	8	61	52	1012.3
204	10	61	52	1012.5
205	10	61	52	1012.5
206	8	57	51	1013
207	3	57	51	1013.8
208	3	59	52	1013.5
209	7	57	52	1013.3
210	13	58	52	1013.6
211	16	55	48	1014
212	16	55	48	1014
213	16	52	46	1014.5
214	13	52	45	1014.7
215	9	51	46	1014.9
216	12	50	47	1015.1
217	14	49	47	1015.1
218	15	48	46	1015.3
219	15	48	46	1015.3
220	13	48	46	1015.4
221	10	47	45	1015.8
222	12	47	46	1016.1
223	12	47	46	1015.8
224	13	47	46	1015.9
225	11	46	46	1016.2
226	12	47	46	1016.2
227	6	47	47	1015.9
228	8	49	44	1015.8
229	7	49	44	1016
230	6	49	45	1016.2
231	0	49	45	1016.1
232	3	48	45	1016.4
233	3	48	44	1016.4
234	0	48	44	1016.3
235	3	48	45	1016.1
236	6	48	44	1015.9
237	0	51	44	1015.7
238	3	51	45	1015.8
239	5	52	46	1015.2
240	5	51	47	1015.2
241	6	50	48	1014.6
242	7	50	48	1014.5
243	5	50	48	1014.5
244	6	49	47	1014.2
245	6	49	48	1014.5
246	8	50	48	1014
247	8	50	49	1014
248	5	53	50	1014.1
249	6	57	52	1013.4
250	6	61	52	1013.4
251	10	56	52	1012.9
252	10	56	51	1012.9
253	14	55	52	1012.6
254	14	55	51	1012.6
255	13	55	51	1012.8
256	12	55	50	1012.8
257	14	53	49	1013.3
258	12	50	47	1013.7
259	12	49	46	1013.8
260	8	48	46	1014.3
261	8	48	46	1014.3
262	6	47	45	1014.6
263	0	47	45	1014.6
264	0	47	45	1014.4
265	3	47	45	1013.8
266	5	48	45	1013.2
267	9	48	45	1012.9
268	9	48	45	1012.9
269	8	48	46	1012.6
270	8	49	45	1012.7
271	12	49	42	1012.8
272	8	49	41	1013
273	13	51	41	1013.5
274	10	54	37	1013
275	10	54	38	1013
276	14	56	37	1012.7
277	14	59	36	1011.9
278	14	61	37	1011.3
279	9	63	36	1010.8
280	16	65	37	1009.4
281	11	68	36	1008.5
282	12	68	35	1008.5
283	10	69	34	1008.3
284	13	71	34	1007.8
285	12	73	33	1007.3
286	9	73	31	1007.3
287	10	57	45	1007.4
288	6	56	45	1008.2
289	5	55	45	1008.7
290	0	58	42	1008.7
291	0	54	46	1009
292	6	51	47	1009.4
293	6	50	46	1010.2
294	0	52	46	1010.4
295	0	51	46	1010.4
296	7	51	45	1010.2
297	14	50	46	1010.6
298	10	49	43	1010.9
299	13	48	42	1010.9
300	12	49	42	1011.4
301	9	50	41	1012.6
302	9	50	41	1012.6
303	8	51	41	1012.3
304	9	52	41	1012.1
305	12	53	41	1011.5
306	13	53	42	1011.1
307	15	53	42	1010.5
308	18	54	43	1009.5
309	18	54	42	1009.5
310	20	53	40	1009.3
311	18	52	41	1008.8
312	17	52	43	1008.5
313	18	52	44	1008.2
314	17	51	44	1007.6
315	17	48	46	1007.2
316	17	49	46	1007.2
317	20	49	45	1006.5
318	15	49	44	1005.6
319	16	48	44	1004.3
320	16	48	44	1003.1
321	14	47	45	1001.9
322	10	46	46	1002.7
323	10	46	46	1002.7
324	16	46	45	1001.5
325	13	46	45	1002.1
326	17	45	44	1001.2
327	14	45	44	1001
328	10	45	44	1001.2
329	11	45	45	1001.3
330	12	45	44	1001.3
331	9	45	45	1001.4
332	8	47	45	1001
333	8	47	45	1000.9
334	3	48	45	1000.8
335	6	49	44	1000.8
336	3	50	45	1000.5
337	3	50	45	1000.5
338	5	51	46	1000
339	8	51	46	999.3
340	9	49	46	999.4
341	10	47	46	999.3
342	13	47	46	999.5
343	13	46	45	999.6
344	13	47	45	999.6
345	13	47	46	999.7
346	13	47	46	999.7
347	8	47	46	999.9
348	10	47	46	999.3
349	7	46	46	999.1
350	5	46	46	998.7
351	5	47	46	998.7
352	0	47	46	998.6
353	3	47	46	998.6
354	5	48	47	998.6
355	6	48	48	998.9
356	8	50	49	999.1
357	11	55	46	999.1
358	12	55	46	999.1
359	10	55	46	999.5
360	14	59	47	999.5
361	10	57	46	999.7
362	10	58	45	999.6
363	8	61	45	999.5
364	14	61	43	999.6
365	14	61	43	999.6
366	9	60	45	999.6
367	8	59	48	1000
368	13	59	45	1000.4
369	13	52	48	1001
